emp_no,birth_date,first_name,last_name,gender,hire_date
1050,1973-01-30,Patricia,Jiménez,M,2010-02-20
1051,1994-03-20,Sofía,Muñoz,F,2021-01-18
1052,1979-09-26,Silvia,Martínez,F,2019-09-28
1053,1985-12-04,Sofía,Jiménez,F,2012-06-24
1054,1981-04-28,Diego,Ortiz,F,2022-10-30
1055,1986-05-30,Luis,Flores,F,2022-10-26
1056,1976-12-04,Jorge,Ruiz,F,2011-08-16
1057,1975-01-11,Patricia,González,F,2023-07-10
1058,1989-05-07,Javier,Pérez,F,2014-08-05
1059,2000-10-16,Patricia,Torres,M,2022-11-28
1060,1985-08-17,Raúl,López,M,2020-06-08
1061,1974-09-29,Fernando,Jiménez,F,2013-10-19
1062,1985-11-28,Luis,Ortiz,F,2022-02-03
1063,1993-02-01,Marta,Ruiz,F,2020-02-15
1064,1988-08-10,Cristina,Moreno,M,2010-03-14
1065,1991-05-09,Marta,Muñoz,M,2017-01-26
1066,1994-05-27,Javier,Muñoz,F,2011-09-28
1067,1979-04-17,Carlos,Vargas,M,2010-01-18
1068,1995-05-13,Isabel,Ortiz,M,2010-02-20
1069,1977-05-26,Sofía,Ruiz,F,2020-07-23
1070,1975-09-17,Ana,Ortiz,M,2023-10-04
1071,1988-07-08,Javier,Moreno,M,2021-04-06
1072,1970-10-11,Fernando,Díaz,M,2013-08-02
1073,1999-08-31,Isabel,Torres,M,2023-08-15
1074,1981-03-13,Carlos,Martínez,F,2015-04-01
1075,1975-10-17,Elena,Martínez,M,2010-05-05
1076,1984-04-24,Elena,Torres,M,2014-09-17
1077,1973-10-10,Elena,Ramírez,M,2023-06-09
1078,1997-08-31,Marta,Díaz,F,2019-01-06
1079,1981-04-26,Sofía,Hernández,F,2023-11-05
1080,1990-03-20,Sofía,Rojas,F,2016-11-09
1081,1972-09-14,Lucía,Muñoz,M,2016-07-09
1082,1998-07-27,Pedro,González,F,2014-10-22
1083,1977-04-27,Marta,Ruiz,F,2013-04-03
1084,1972-12-16,Elena,Vargas,M,2021-01-06
1085,1971-10-04,Jorge,Medina,M,2022-10-18
1086,1979-04-07,Javier,Sánchez,F,2010-04-27
1087,1989-07-04,Sofía,Díaz,F,2017-07-05
1088,1987-06-09,Marta,Moreno,M,2013-05-09
1089,1985-03-23,Silvia,Díaz,F,2022-05-29
1090,1983-05-09,Silvia,Martínez,F,2017-08-22
1091,1978-10-07,Raúl,Muñoz,M,2010-06-03
1092,1994-11-23,Isabel,García,M,2016-06-14
1093,1981-11-28,Marta,García,M,2014-09-05
1094,1989-02-21,Marta,González,M,2011-07-09
1095,1978-10-17,Diego,Martínez,F,2012-10-22
1096,1982-02-07,María,Jiménez,M,2021-11-07
1097,1996-06-24,María,Jiménez,M,2012-09-30
1098,1973-01-23,Ana,Jiménez,F,2019-02-06
1099,1981-02-04,Elena,Vargas,M,2016-04-09
1100,1977-08-19,Luis,Rojas,M,2022-02-03
1101,1995-05-27,Juan,Martínez,F,2021-05-30
1102,1980-10-04,Cristina,Jiménez,F,2022-08-13
1103,1999-08-25,Ana,Castillo,M,2016-12-08
1104,1980-02-06,Carlos,Ramírez,M,2014-10-29
1105,1991-11-23,Sofía,Flores,F,2019-11-09
1106,1972-02-06,Marta,Pérez,M,2014-08-31
1107,1987-03-05,Ana,Muñoz,F,2017-08-21
1108,1991-01-19,Sofía,Medina,F,2010-11-02
1109,1996-08-22,María,Pérez,F,2021-02-03
1110,1994-12-01,Juan,García,F,2010-03-17
1111,1994-07-02,Silvia,García,F,2012-07-06
1112,1981-09-12,Ana,Torres,M,2018-02-13
1113,1999-10-27,Laura,Ruiz,F,2022-05-15
1114,1976-08-14,Raúl,Castillo,M,2010-02-01
1115,1980-07-08,María,González,F,2017-04-17
1116,1982-12-09,Luis,Ramírez,M,2018-04-16
1117,1998-04-21,Carlos,Hernández,M,2015-04-23
1118,1977-03-19,Luis,Flores,M,2012-11-19
1119,1987-12-11,Juan,Muñoz,F,2011-02-24
1120,1999-06-17,Silvia,Rojas,F,2022-09-02
1121,1990-12-16,Luis,López,M,2021-03-28
1122,1997-04-17,Patricia,Muñoz,F,2011-08-03
1123,1973-07-05,Fernando,Hernández,M,2011-02-20
1124,2000-09-11,Patricia,Ruiz,F,2023-09-19
1125,1994-12-19,Laura,Flores,F,2023-12-16
1126,1990-01-14,María,López,M,2011-11-25
1127,1979-05-18,Lucía,Pérez,M,2010-08-16
1128,1999-12-10,Cristina,Medina,M,2020-11-28
1129,1984-06-03,Patricia,González,F,2012-12-09
1130,1970-09-23,Ana,Martínez,M,2019-10-03
1131,1979-07-18,Elena,Medina,M,2011-10-10
1132,1995-10-05,Silvia,Pérez,F,2020-11-01
1133,1978-08-27,Sofía,Muñoz,F,2011-03-01
1134,1988-08-04,Laura,Pérez,F,2015-11-08
1135,1970-11-30,Carlos,Castillo,F,2014-02-28
1136,1986-01-01,Diego,Moreno,M,2018-04-03
1137,1970-02-04,Javier,Flores,M,2018-09-16
1138,1998-02-21,Sofía,Jiménez,M,2018-08-18
1139,1985-08-27,Ana,Jiménez,M,2014-07-30
1140,1998-09-16,Elena,Ruiz,F,2011-07-07
