employeeId,firstName,lastName,gender,hireDate,birthDate,departmentCode,from_date,to_date
1050,Adriana,Morales,M,2023-01-01,1993-01-08,d010,2023-01-01,2024-01-01
1051,Oscar,Mendoza,F,2023-01-11,1992-01-19,d011,2023-01-11,2024-01-11
1052,Sara,Vega,M,2023-01-21,1991-01-29,d012,2023-01-21,2024-01-21
1053,Daniel,Guzmán,F,2023-01-31,1990-02-08,d013,2023-01-31,2024-01-31
1054,Clara,Navarro,M,2023-02-10,1989-02-18,d014,2023-02-10,2024-02-10
1055,Victor,Ortega,F,2023-02-20,1993-02-27,d015,2023-02-20,2024-02-20
1056,Lorena,Ramos,M,2023-03-02,1992-03-09,d016,2023-03-02,2024-03-01
1057,Samuel,Castro,F,2023-03-12,1991-03-20,d017,2023-03-12,2024-03-11
1058,Natalia,Martín,M,2023-03-22,1990-03-30,d018,2023-03-22,2024-03-21
1059,Fernando,Reyes,F,2023-04-01,1989-04-09,d019,2023-04-01,2024-03-31
1060,Mariana,Paredes,M,2023-04-11,1993-04-18,d010,2023-04-11,2024-04-10
1061,Rodrigo,Luna,F,2023-04-21,1992-04-28,d011,2023-04-21,2024-04-20
1062,Silvia,Peña,M,2023-05-01,1991-05-09,d012,2023-05-01,2024-04-30
1063,Emilio,Cabrera,F,2023-05-11,1990-05-19,d013,2023-05-11,2024-05-10
1064,Vanesa,Romero,M,2023-05-21,1989-05-29,d014,2023-05-21,2024-05-20
1065,Jorge,Herrera,F,2023-05-31,1993-06-07,d015,2023-05-31,2024-05-30
1066,Cecilia,Ortiz,M,2023-06-10,1992-06-17,d016,2023-06-10,2024-06-09
1067,Leonardo,Blanco,F,2023-06-20,1991-06-28,d017,2023-06-20,2024-06-19
1068,Andrea,Gutiérrez,M,2023-06-30,1990-07-08,d018,2023-06-30,2024-06-29
1069,Diego,Marín,F,2023-07-10,1989-07-18,d019,2023-07-10,2024-07-09
1070,Estefanía,Serrano,M,2023-07-20,1993-07-27,d010,2023-07-20,2024-07-19
1071,Ricardo,Delgado,F,2023-07-30,1992-08-06,d011,2023-07-30,2024-07-29
1072,Sofía,Murillo,M,2023-08-09,1991-08-17,d012,2023-08-09,2024-08-08
1073,Felipe,Escobar,F,2023-08-19,1990-08-27,d013,2023-08-19,2024-08-18
1074,Isabel,Barrera,M,2023-08-29,1989-09-06,d014,2023-08-29,2024-08-28
1075,Mateo,Salazar,F,2023-09-08,1993-09-15,d015,2023-09-08,2024-09-07
1076,Daniela,Suárez,M,2023-09-18,1992-09-25,d016,2023-09-18,2024-09-17
1077,Luis,Meza,F,2023-09-28,1991-10-06,d017,2023-09-28,2024-09-27
1078,Claudia,Molina,M,2023-10-08,1990-10-16,d018,2023-10-08,2024-10-07
1079,Francisco,Gallardo,F,2023-10-18,1989-10-26,d019,2023-10-18,2024-10-17
1080,Adriana,Morales,M,2023-10-28,1993-11-04,d010,2023-10-28,2024-10-27
1081,Oscar,Mendoza,F,2023-11-07,1992-11-14,d011,2023-11-07,2024-11-06
1082,Sara,Vega,M,2023-11-17,1991-11-25,d012,2023-11-17,2024-11-16
1083,Daniel,Guzmán,F,2023-11-27,1990-12-05,d013,2023-11-27,2024-11-26
1084,Clara,Navarro,M,2023-12-07,1989-12-15,d014,2023-12-07,2024-12-06
1085,Victor,Ortega,F,2023-12-17,1993-12-24,d015,2023-12-17,2024-12-16
1086,Lorena,Ramos,M,2023-12-27,1993-01-03,d016,2023-12-27,2024-12-26
1087,Samuel,Castro,F,2024-01-06,1992-01-14,d017,2024-01-06,2025-01-05
1088,Natalia,Martín,M,2024-01-16,1991-01-24,d018,2024-01-16,2025-01-15
1089,Fernando,Reyes,F,2024-01-26,1990-02-03,d019,2024-01-26,2025-01-25
1090,Mariana,Paredes,M,2024-02-05,1994-02-12,d010,2024-02-05,2025-02-04
1091,Rodrigo,Luna,F,2024-02-15,1993-02-22,d011,2024-02-15,2025-02-14
1092,Silvia,Peña,M,2024-02-25,1992-03-04,d012,2024-02-25,2025-02-24
1093,Emilio,Cabrera,F,2024-03-06,1991-03-15,d013,2024-03-06,2025-03-06
1094,Vanesa,Romero,M,2024-03-16,1990-03-25,d014,2024-03-16,2025-03-16
1095,Jorge,Herrera,F,2024-03-26,1994-04-03,d015,2024-03-26,2025-03-26
1096,Cecilia,Ortiz,M,2024-04-05,1993-04-13,d016,2024-04-05,2025-04-05
1097,Leonardo,Blanco,F,2024-04-15,1992-04-23,d017,2024-04-15,2025-04-15
1098,Andrea,Gutiérrez,M,2024-04-25,1991-05-04,d018,2024-04-25,2025-04-25
1099,Diego,Marín,F,2024-05-05,1990-05-14,d019,2024-05-05,2025-05-05
1100,Estefanía,Serrano,M,2024-05-15,1994-05-23,d010,2024-05-15,2025-05-15
1101,Ricardo,Delgado,F,2024-05-25,1993-06-02,d011,2024-05-25,2025-05-25
1102,Sofía,Murillo,M,2024-06-04,1992-06-12,d012,2024-06-04,2025-06-04
1103,Felipe,Escobar,F,2024-06-14,1991-06-23,d013,2024-06-14,2025-06-14
1104,Isabel,Barrera,M,2024-06-24,1990-07-03,d014,2024-06-24,2025-06-24
1105,Mateo,Salazar,F,2024-07-04,1994-07-12,d015,2024-07-04,2025-07-04
1106,Daniela,Suárez,M,2024-07-14,1993-07-22,d016,2024-07-14,2025-07-14
1107,Luis,Meza,F,2024-07-24,1992-08-01,d017,2024-07-24,2025-07-24
1108,Claudia,Molina,M,2024-08-03,1991-08-12,d018,2024-08-03,2025-08-03
1109,Francisco,Gallardo,F,2024-08-13,1990-08-22,d019,2024-08-13,2025-08-13
1110,Adriana,Morales,M,2024-08-23,1994-08-31,d010,2024-08-23,2025-08-23
1111,Oscar,Mendoza,F,2024-09-02,1993-09-10,d011,2024-09-02,2025-09-02
1112,Sara,Vega,M,2024-09-12,1992-09-20,d012,2024-09-12,2025-09-12
1113,Daniel,Guzmán,F,2024-09-22,1991-10-01,d013,2024-09-22,2025-09-22
1114,Clara,Navarro,M,2024-10-02,1990-10-11,d014,2024-10-02,2025-10-02
1115,Victor,Ortega,F,2024-10-12,1994-10-20,d015,2024-10-12,2025-10-12
1116,Lorena,Ramos,M,2024-10-22,1993-10-30,d016,2024-10-22,2025-10-22
1117,Samuel,Castro,F,2024-11-01,1992-11-09,d017,2024-11-01,2025-11-01
1118,Natalia,Martín,M,2024-11-11,1991-11-20,d018,2024-11-11,2025-11-11
1119,Fernando,Reyes,F,2024-11-21,1990-11-30,d019,2024-11-21,2025-11-21
1120,Mariana,Paredes,M,2024-12-01,1994-12-09,d010,2024-12-01,2025-12-01
1121,Rodrigo,Luna,F,2024-12-11,1993-12-19,d011,2024-12-11,2025-12-11
1122,Silvia,Peña,M,2024-12-21,1992-12-29,d012,2024-12-21,2025-12-21
1123,Emilio,Cabrera,F,2024-12-31,1992-01-09,d013,2024-12-31,2025-12-31
1124,Vanesa,Romero,M,2025-01-10,1991-01-19,d014,2025-01-10,2026-01-10
1125,Jorge,Herrera,F,2025-01-20,1995-01-28,d015,2025-01-20,2026-01-20
1126,Cecilia,Ortiz,M,2025-01-30,1994-02-07,d016,2025-01-30,2026-01-30
1127,Leonardo,Blanco,F,2025-02-09,1993-02-17,d017,2025-02-09,2026-02-09
1128,Andrea,Gutiérrez,M,2025-02-19,1992-02-28,d018,2025-02-19,2026-02-19
1129,Diego,Marín,F,2025-03-01,1991-03-10,d019,2025-03-01,2026-03-01
1130,Estefanía,Serrano,M,2025-03-11,1995-03-19,d010,2025-03-11,2026-03-11
1131,Ricardo,Delgado,F,2025-03-21,1994-03-29,d011,2025-03-21,2026-03-21
1132,Sofía,Murillo,M,2025-03-31,1993-04-08,d012,2025-03-31,2026-03-31
1133,Felipe,Escobar,F,2025-04-10,1992-04-18,d013,2025-04-10,2026-04-10
1134,Isabel,Barrera,M,2025-04-20,1991-04-29,d014,2025-04-20,2026-04-20
1135,Mateo,Salazar,F,2025-04-30,1995-05-08,d015,2025-04-30,2026-04-30
1136,Daniela,Suárez,M,2025-05-10,1994-05-18,d016,2025-05-10,2026-05-10
1137,Luis,Meza,F,2025-05-20,1993-05-28,d017,2025-05-20,2026-05-20
1138,Claudia,Molina,M,2025-05-30,1992-06-07,d018,2025-05-30,2026-05-30
1139,Francisco,Gallardo,F,2025-06-09,1991-06-18,d019,2025-06-09,2026-06-09
1140,Adriana,Morales,M,2025-06-19,1995-06-27,d010,2025-06-19,2026-06-19
1141,Oscar,Mendoza,F,2025-06-29,1994-07-07,d011,2025-06-29,2026-06-29
1142,Sara,Vega,M,2025-07-09,1993-07-17,d012,2025-07-09,2026-07-09
1143,Daniel,Guzmán,F,2025-07-19,1992-07-27,d013,2025-07-19,2026-07-19
1144,Clara,Navarro,M,2025-07-29,1991-08-07,d014,2025-07-29,2026-07-29
1145,Victor,Ortega,F,2025-08-08,1995-08-16,d015,2025-08-08,2026-08-08
1146,Lorena,Ramos,M,2025-08-18,1994-08-26,d016,2025-08-18,2026-08-18
1147,Samuel,Castro,F,2025-08-28,1993-09-05,d017,2025-08-28,2026-08-28
1148,Natalia,Martín,M,2025-09-07,1992-09-15,d018,2025-09-07,2026-09-07
1149,Fernando,Reyes,F,2025-09-17,1991-09-26,d019,2025-09-17,2026-09-17
