emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no
500000,1977-01-27,Maria,Miller,F,2021-07-17,d013
500001,1968-02-27,John,Jones,F,1985-06-01,d013
500002,2000-07-01,Alex,Davis,F,2009-01-04,d016
500003,1991-01-23,Ava,Brown,M,2010-10-18,d016
500004,1970-12-01,Sophia,Rodriguez,M,1981-11-11,d012
500005,1975-01-16,James,Smith,F,2020-06-04,d010
500006,1967-04-22,Alex,Jones,F,2004-02-17,d013
500007,1954-06-11,Maria,Brown,F,2016-03-25,d015
500008,1991-12-05,Olivia,Brown,M,2016-07-18,d017
500009,1969-10-03,John,Johnson,M,2018-10-19,d017
500010,1986-10-06,Sophia,Williams,M,2000-08-23,d011
500011,1999-07-09,Sophia,Johnson,M,2012-02-16,d010
500012,1967-12-25,Sophia,Garcia,M,2010-07-03,d014
500013,1965-08-01,Olivia,Martinez,M,1988-04-16,d011
500014,1978-04-08,James,Smith,M,2015-12-12,d018
500015,1958-07-13,Noah,Davis,M,2023-12-18,d018
500016,1993-08-04,Maria,Jones,F,2018-03-13,d019
500017,1982-05-14,Alex,Smith,F,1980-01-22,d016
500018,1985-12-04,Noah,Williams,M,1986-04-25,d014
500019,1999-09-13,Alex,Garcia,F,1996-12-26,d013
500020,1983-05-07,Ava,Miller,M,2005-08-16,d014
500021,1995-07-31,Maria,Rodriguez,F,1989-01-08,d015
500022,1963-09-04,Alex,Smith,F,2015-10-01,d012
500023,1990-06-03,Noah,Garcia,F,2010-04-20,d011
500024,1970-06-29,Olivia,Miller,F,2009-08-08,d016
500025,1954-09-11,Emma,Jones,F,2000-05-02,d013
500026,1975-02-08,Noah,Martinez,M,2000-04-12,d015
500027,1986-04-14,Sophia,Brown,M,2009-04-07,d013
500028,1990-06-29,Emma,Garcia,M,2011-09-07,d018
500029,1953-11-07,Emma,Smith,M,1994-06-18,d010
500030,1979-02-08,John,Williams,F,2003-07-24,d019
500031,1956-06-09,Alex,Rodriguez,F,2013-10-09,d018
500032,1957-04-13,Maria,Martinez,F,2006-12-10,d015
500033,1966-06-06,Alex,Smith,M,2015-10-28,d017
500034,1997-02-10,Sophia,Brown,M,1998-02-15,d018
500035,1970-02-28,Emma,Jones,M,1986-06-09,d019
500036,1973-04-15,Olivia,Brown,F,1988-05-04,d019
500037,1978-10-15,Olivia,Jones,M,1998-11-13,d019
500038,2000-07-21,Emma,Rodriguez,F,2017-03-04,d010
500039,1981-02-24,Olivia,Johnson,F,2023-06-18,d018
500040,1950-01-03,Emma,Jones,F,1997-06-28,d010
500041,1993-12-19,Ava,Johnson,F,1988-02-22,d017
500042,1984-02-07,Emma,Garcia,M,1999-01-12,d013
500043,1954-01-09,Ava,Smith,M,2007-03-03,d017
500044,1957-07-07,Liam,Smith,F,2009-02-18,d019
500045,1968-08-07,Liam,Miller,F,2011-12-02,d010
500046,2000-06-18,John,Williams,F,1993-09-01,d017
500047,1972-05-05,Alex,Davis,F,2018-05-08,d013
500048,1981-08-31,James,Johnson,M,2017-04-01,d018
500049,1962-05-20,Alex,Miller,F,2011-03-29,d010
500050,1968-04-01,Olivia,Smith,F,1987-09-10,d014
500051,1986-07-22,Maria,Martinez,F,1980-02-05,d015
500052,1958-04-24,Maria,Smith,F,2011-06-10,d013
500053,1982-05-24,James,Brown,F,2012-10-16,d011
