emp_no,first_name,last_name,gender,hire_date,birth_date
2000,Frodo,Baggins,M,2005-04-01,1980-01-15
2001,Samwise,Gamgee,M,2007-09-15,1975-06-12
2002,Aragorn,SonofArathorn,M,2008-11-20,1982-08-25
2003,Legolas,Greenleaf,M,2009-03-05,1978-11-13
2004,Gimli,SonofGloin,M,2010-05-23,1985-04-20
2005,Gandalf,Grey,M,2011-06-30,1976-05-17
2006,Galadriel,Lothlorien,F,2012-08-17,1981-02-11
2007,Elrond,Halfelven,M,2013-10-12,1979-09-19
2008,Arwen,Undomiel,F,2014-12-08,1987-01-28
2009,Eowyn,WhiteLady,F,2015-01-25,1984-03-16
2010,Bilbo,Baggins,M,2016-03-14,1977-07-07
2011,Thranduil,Woodland,M,2017-04-07,1983-10-22
2012,Sauron,DarkLord,M,2018-06-11,1986-09-09
2013,Eomer,Rohan,M,2019-07-19,1980-12-14
2014,Faramir,Gondor,M,2020-09-01,1988-11-02
2015,Boromir,Gondor,M,2021-10-16,1989-04-05
2016,Gollum,Smeagol,M,2022-11-23,1974-08-13
2017,Celeborn,Lothlorien,M,2023-01-07,1975-02-20
2018,Haldir,Lothlorien,M,2010-05-05,1982-03-11
2019,Luthien,Thingol,F,2011-07-13,1981-10-07
2020,Beren,Erchamion,M,2012-08-24,1979-12-22
2021,Melian,QueenofDoriath,F,2013-09-30,1983-06-30
2022,Turin,Turambar,M,2014-11-05,1978-04-28
2023,Turgon,HighKing,M,2015-12-17,1984-05-16
2024,Finrod,Felagund,M,2016-02-10,1980-02-04
2025,Morgoth,Bauglir,M,2017-03-16,1977-03-25
2026,Feanor,SonofFinwe,M,2018-04-30,1989-07-19
2027,Maedhros,Forgedson,M,2019-09-21,1978-08-08
2028,Fingolfin,HighKing,M,2020-12-04,1987-10-01
2029,Glorfindel,GoldenFlower,M,2021-01-28,1985-02-13
2030,Erestor,Rivendell,M,2022-02-15,1981-06-18
2031,Cirdan,Shipwright,M,2023-03-25,1980-09-25
2032,Galdor,Havens,M,2010-04-02,1984-11-06
2033,Beregond,Gondor,M,2011-06-27,1983-01-09
2034,Imrahil,DolAmroth,M,2012-08-30,1982-02-20
2035,Voronwe,Gondolin,M,2013-11-22,1980-05-30
2036,Idril,Celebrindal,F,2014-01-28,1985-12-05
2037,Tuor,LastHope,M,2015-03-19,1978-06-15
