emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no
500000,1965-09-02,Patrick,Li,F,2020-05-01,d013
500001,1996-06-14,Dale,Reed,F,2015-01-11,d011
500002,1988-12-08,Lisa,Parker,F,2017-05-03,d013
500003,1988-07-21,Mark,Hall,F,2021-06-25,d015
500004,1986-09-19,Christian,Russell,M,2021-01-06,d017
500005,1982-04-05,Julie,Clark,M,2024-04-16,d010
500006,2003-08-06,Stephanie,Gordon,M,2019-09-24,d011
500007,1986-12-23,Susan,Allen,M,2022-10-31,d015
500008,1979-09-26,Billy,Bond,M,2015-04-15,d019
500009,1993-07-13,Olivia,Hill,M,2020-01-28,d017
500010,1974-04-08,Matthew,Estes,M,2020-12-09,d014
500011,1993-08-04,Lisa,Cook,F,2022-02-16,d017
500012,2003-08-07,Timothy,Zimmerman,F,2016-03-14,d010
500013,1987-04-01,Anne,Wheeler,F,2021-11-07,d015
500014,2000-07-27,Donna,Downs,M,2022-05-16,d018
500015,1976-09-23,Holly,Mccall,M,2021-10-09,d012
500016,1974-05-19,Sarah,Fuller,M,2023-09-24,d019
500017,2001-09-03,Joshua,Brewer,M,2015-12-11,d013
500018,2001-05-23,Ashley,Robinson,F,2022-04-03,d019
500019,2004-06-28,Richard,Maddox,M,2019-02-10,d014
500020,1978-03-20,Erin,Peterson,F,2015-08-17,d017
500021,1994-08-30,Susan,Martinez,M,2015-04-10,d018
500022,1978-02-28,Troy,Richardson,M,2016-04-09,d014
500023,1969-06-22,Joyce,Rogers,F,2023-09-10,d015
500024,1972-05-28,Darren,Byrd,M,2024-10-19,d015
500025,1980-09-06,Jennifer,Coleman,F,2019-03-13,d019
500026,1972-06-07,Lori,Tucker,M,2017-05-30,d018
500027,1969-10-12,David,Campbell,M,2018-12-07,d012
500028,1973-05-01,Karl,Wall,M,2015-06-16,d016
500029,1978-12-15,Paul,Ellis,M,2020-06-11,d013
500030,1982-03-29,Deborah,Melendez,F,2015-06-21,d014
500031,1968-08-19,Christopher,Gonzalez,F,2020-07-30,d015
500032,1975-11-26,Meghan,Adams,F,2015-10-23,d012
500033,1974-05-27,Robert,Cooper,M,2019-02-11,d016
500034,1979-12-26,Corey,King,F,2020-12-24,d010
500035,1981-06-08,Alicia,Woodard,M,2021-10-15,d017
500036,1968-09-13,Angela,Johnson,M,2022-07-07,d016
500037,1998-01-27,Taylor,Gray,F,2020-07-15,d014
500038,1999-10-10,Kelsey,Gutierrez,F,2018-08-10,d010
500039,1999-05-16,James,Carrillo,M,2018-09-29,d012
500040,1986-04-20,Brian,Daugherty,M,2017-04-19,d017
500041,1987-02-03,Brittany,Baldwin,F,2016-04-11,d014
500042,1994-01-27,Cory,Wells,M,2018-01-08,d012
500043,1995-04-11,Elizabeth,Barron,M,2024-08-31,d012
500044,1975-11-04,Paul,Fisher,F,2015-08-25,d010
500045,1967-09-06,Melissa,Leach,M,2024-01-01,d015
500046,1971-06-15,Francisco,Bell,F,2022-01-01,d019
500047,2004-01-11,Thomas,Walker,F,2021-03-24,d019
500048,1975-10-28,Cheryl,Rogers,M,2021-05-06,d010
500049,1975-03-12,Gabriel,Williams,F,2015-07-09,d012
500050,1970-01-05,David,James,M,2021-04-26,d013
500051,1997-11-18,Laura,Navarro,F,2022-05-18,d010
500052,2002-12-29,Tyler,Dickerson,F,2024-05-06,d011
500053,1979-03-25,Tanya,Mcmahon,M,2022-04-21,d015
500054,1990-04-11,Sharon,Mendoza,M,2021-09-13,d016
500055,1978-05-15,Kevin,Jennings,M,2019-06-11,d018
500056,1996-08-02,Patrick,Mason,M,2015-07-06,d013
500057,1995-12-22,Eduardo,Johnson,M,2018-10-06,d018
500058,2002-03-15,Diana,Edwards,F,2018-06-21,d017
500059,1996-12-27,Steven,Thompson,M,2024-02-11,d015
500060,1993-02-03,Steven,Hurley,M,2024-07-27,d018
500061,1971-09-12,Alan,Sanders,F,2024-08-02,d010
500062,1987-02-10,Justin,Knight,M,2017-05-12,d010
500063,1988-10-08,Nicole,Green,F,2023-09-28,d013
500064,1986-05-19,Blake,Johnson,M,2018-04-04,d014
500065,1992-09-18,Kathleen,West,F,2021-04-27,d016
500066,2004-08-14,Daniel,Bentley,M,2023-01-13,d016
500067,1990-06-12,Scott,Barrett,M,2018-12-06,d019
500068,1964-09-24,Nicole,Miller,F,2016-11-25,d019
500069,1968-06-21,Teresa,Ray,F,2017-05-18,d013
500070,1990-09-16,Stephanie,Walker,F,2019-03-31,d014
500071,1964-12-08,Gabrielle,Howard,M,2018-12-21,d010
500072,1974-07-23,David,Johnston,F,2015-12-07,d010
500073,1967-05-12,Tiffany,Lopez,M,2015-04-12,d014
500074,1984-11-28,Anthony,Woods,F,2020-04-21,d014
500075,1990-01-22,Kathleen,Dickson,F,2016-11-19,d016
500076,1980-11-01,Amber,Ellis,M,2022-01-19,d019
500077,1976-01-26,Blake,Bates,M,2019-10-16,d016
500078,2000-05-14,Tracy,Tucker,F,2022-06-11,d012
500079,1963-12-03,James,Smith,F,2020-09-02,d019
500080,1984-08-22,Cassandra,Pham,M,2019-08-26,d012
500081,1999-05-31,John,Price,F,2016-07-12,d015
500082,1994-05-24,Paul,Gallagher,F,2023-09-03,d015
500083,1980-07-20,William,Sanchez,M,2017-03-31,d011
500084,1985-09-02,James,Young,M,2018-09-30,d011
500085,1967-03-30,Laura,Shaffer,M,2017-01-29,d019
500086,1982-08-19,Natalie,Greer,M,2022-03-08,d018
500087,2001-11-28,Andrea,Stevenson,F,2018-08-06,d017
500088,1993-04-13,April,Harrison,M,2022-05-16,d012
500089,1996-08-18,Aaron,Sandoval,M,2018-12-19,d016
500090,1989-11-26,Jennifer,Phillips,F,2022-11-18,d017
500091,1990-11-10,Daniel,Nolan,M,2020-05-11,d015
500092,1993-06-12,Patricia,Lee,M,2022-01-17,d014
500093,1988-01-10,Patricia,Chapman,M,2015-06-13,d015
500094,1977-03-12,Tiffany,Wilson,F,2017-11-13,d010
500095,1965-08-26,Matthew,Stanton,M,2015-11-21,d016
500096,1980-02-24,Robert,Miller,M,2018-10-04,d010
500097,1965-05-15,Joshua,Garcia,F,2024-09-12,d019
500098,1997-08-28,Juan,Ortiz,F,2021-07-28,d010
500099,1972-04-01,Michael,Smith,M,2017-10-09,d010
